Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/posts/26,4,0,17,36.47382500003005,16.87569999921834,91.65240000038466,259.0,0.06734240179265517,0.0,20,20,92,92,92,92,92,92,92,92,92
GET,/posts/27,4,0,17,18.093974999828788,16.29659999980504,20.26119999936782,288.0,0.06734240179265517,0.0,18,18,20,20,20,20,20,20,20,20,20
GET,/posts/28,10,0,19,23.414859999866167,16.511300000274787,62.69960000008723,249.0,0.16835600448163796,0.0,19,21,22,23,63,63,63,63,63,63,63
GET,/posts/29,5,0,19,19.44181999988359,18.707199999880686,20.23170000029495,247.0,0.08417800224081898,0.0,19,20,20,20,20,20,20,20,20,20,20
GET,/posts/3,5,0,19,18.620040000132576,15.621700000338024,21.478200000274228,283.0,0.08417800224081898,0.0,19,20,20,21,21,21,21,21,21,21,21
GET,/posts/30,7,0,18,17.78781428570905,16.08559999931458,20.152300000518153,234.0,0.11784920313714656,0.0,18,18,18,18,20,20,20,20,20,20,20
GET,/posts/31,4,0,17,17.841975000237653,16.022200000406883,21.46660000016709,276.0,0.06734240179265517,0.0,17,17,21,21,21,21,21,21,21,21,21
GET,/posts/32,8,0,18,29.124362499942436,16.673299999638402,72.02099999994971,280.0,0.13468480358531035,0.0,19,22,51,51,72,72,72,72,72,72,72
GET,/posts/33,6,0,18,19.71695000035349,16.89390000046842,25.023500000315835,228.0,0.10101360268898277,0.0,19,19,22,22,25,25,25,25,25,25,25
GET,/posts/34,6,0,17,17.449299999952927,16.067800000200805,18.492199999855075,293.0,0.10101360268898277,0.0,18,18,18,18,18,18,18,18,18,18,18
GET,/posts/35,7,0,18,19.872699999983265,16.985399999612127,28.66989999984071,283.0,0.11784920313714656,0.0,18,18,21,21,29,29,29,29,29,29,29
GET,/posts/36,7,0,17,17.59827142879138,15.910000000076252,21.11590000004071,311.0,0.11784920313714656,0.0,17,18,18,18,21,21,21,21,21,21,21
GET,/posts/37,6,0,18,26.042899999993097,16.026199999942037,61.04589999995369,269.0,0.10101360268898277,0.0,21,21,24,24,61,61,61,61,61,61,61
GET,/posts/38,6,0,18,19.206233333382745,16.60280000032799,22.88490000046295,314.0,0.10101360268898277,0.0,20,20,21,21,23,23,23,23,23,23,23
GET,/posts/39,3,0,18,18.76376666647654,16.534200000023702,21.795900000142865,286.0,0.050506801344491384,0.0,18,18,22,22,22,22,22,22,22,22,22
GET,/posts/4,3,0,19,20.448633333217003,17.777099999875645,24.507600000106322,270.0,0.050506801344491384,0.0,19,19,25,25,25,25,25,25,25,25,25
GET,/posts/40,9,0,17,19.712611111167966,15.731500000583765,29.369599999881757,244.0,0.15152040403347414,0.0,17,18,21,26,29,29,29,29,29,29,29
GET,/posts/41,8,0,22,26.81088750023264,16.813500000353088,63.752000000022235,256.0,0.13468480358531035,0.0,22,26,26,26,64,64,64,64,64,64,64
GET,/posts/42,8,0,18,23.755424999876595,16.552799999772105,63.08919999992213,305.0,0.13468480358531035,0.0,18,18,21,21,63,63,63,63,63,63,63
